model_b,metric,general_proxy,layer,baseline_accuracy,intervention_accuracy,tool_damage_probability,baseline_perplexity_arithmetic_mean,intervention_perplexity_arithmetic_mean,perplexity_relative_damage,perplexity_log_ratio,predicted_tool_damage_probability,residual_probability,residual_pointwise_95_low,residual_pointwise_95_high,residual_simultaneous_95_low,residual_simultaneous_95_high,residual_bootstrap_se,leverage,leave_one_layer_out_residual,isotonic_log_residual,damage_rank_descending_average_ties,residual_rank_descending_average_ties,equal_damage_layers,intervention_complete_failure,baseline_at_ceiling,point_residual_at_least_10pp,simultaneous_low_above_zero,simultaneous_low_above_10pp,raw_log_and_loo_point_material,isotonic_point_material
1.7,tool_selection,log_ratio,10,1.0,0.95,0.050000000000000044,22.592421531677246,23.503746604919435,0.04033764472588319,0.039545318853422294,0.1996100797039651,-0.14961007970396506,-0.21347516049588133,-0.05757076867945381,-0.3013397073255317,0.0021195479176015775,0.04186161445278503,0.03993460089658118,-0.155833217032592,-0.05384615384615381,16.0,14.0,3,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,11,1.0,0.0,1.0,22.592421531677246,29.315540504455566,0.29758292900792904,0.2605032484724428,0.21452592296317585,0.7854740770368241,0.7510074869934132,0.8153897271436055,0.7262646465288012,0.8446835075448471,0.016335651716471503,0.038212447667450924,0.8166814751676444,0.6708333333333334,2.0,1.0,3,True,True,True,True,True,True,True
1.7,tool_selection,log_ratio,12,1.0,0.55,0.44999999999999996,22.592421531677246,22.364794731140137,-0.010075360900023478,-0.010126460872172989,0.1962569686295154,0.2537430313704846,0.044020125929308575,0.46556490331203576,-0.13544253120626415,0.6429285939472333,0.1073747838610156,0.04038354956430323,0.2644213021309473,0.3461538461538461,7.0,6.0,1,False,True,True,False,False,True,True
1.7,tool_selection,log_ratio,13,1.0,1.0,0.0,22.592421531677246,22.449916458129884,-0.006307649374705293,-0.006327626645742586,0.19651341027877806,-0.19651341027877806,-0.23461887988874702,-0.16523696650333836,-0.26018290982238157,-0.13284391073517454,0.01756616742607269,0.040348413333022894,-0.2047757884309872,-0.10384615384615385,23.0,17.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,14,1.0,0.7,0.30000000000000004,22.592421531677246,22.01256980895996,-0.025665762384269653,-0.026000874435705514,0.19518536072228254,0.1048146392777175,-0.07412448515214404,0.297093536006785,-0.23965702509322012,0.4492863036486551,0.09503839315925203,0.040531811280089085,0.10924243295398625,0.19615384615384618,10.0,9.0,1,False,True,True,False,False,False,True
1.7,tool_selection,log_ratio,15,1.0,0.9,0.09999999999999998,22.592421531677246,21.431989097595213,-0.051363791723475494,-0.052729896040971724,0.19338100865660368,-0.0933810086566037,-0.18778791490550864,0.029398724159021717,-0.2974805764571128,0.11071855914390535,0.05631027737413721,0.040786687020078816,-0.09735166035853215,0.0,13.0,10.0,3,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,16,1.0,1.0,0.0,22.592421531677246,28.53590793609619,0.2630743409282388,0.2335487022285671,0.2127063467769307,-0.2127063467769307,-0.24752129607926934,-0.1826076183790052,-0.27212677417045145,-0.15328591938341,0.016393864936986836,0.038398489679800286,-0.22120009639554591,-0.32916666666666666,23.0,24.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,17,1.0,0.9,0.09999999999999998,22.592421531677246,24.616132926940917,0.08957478915777961,0.0857875184414833,0.20273167575714104,-0.10273167575714107,-0.21078647741343037,0.03770232057024462,-0.33512084665537845,0.1296574951410963,0.06411526890059825,0.03953704184166651,-0.10696058071216694,-0.003846153846153874,13.0,11.0,3,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,18,1.0,0.9,0.09999999999999998,22.592421531677246,25.758917236328124,0.14015742846383583,0.13116634801586313,0.20579498971190585,-0.10579498971190587,-0.20757767386046366,0.030526947010938898,-0.3306840151094528,0.11909403568564106,0.062046007911750564,0.03916602107606476,-0.11010746084395201,-0.003846153846153874,13.0,12.0,3,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,19,1.0,0.65,0.35,22.592421531677246,24.905257415771484,0.10237219949403698,0.0974644027934873,0.20351992796900203,0.14648007203099794,-0.045028642808495736,0.35015289302049235,-0.22450364484857438,0.5174637889105702,0.10235296538793064,0.03943976139912199,0.15249441538862388,0.2461538461538461,9.0,8.0,1,False,True,True,False,False,True,True
